EventNumber,EventName,RandomSeed,EventWeight,Primary [Type],Energy [GeV],Zenith [Deg],"Azimuth [Deg, Geomagnetic]",Model
96,Xi_Sib_Proton_2.42_75.0_260.6_96,0.9298673401,1,Proton,2.423347314778692,75.01839408124881,260.5845541852754,Sib
97,Xi_Sib_Iron_0.433_63.5_30.74_97,0.2791735065,1,Iron,0.4330741923580965,63.51435283165155,30.741338711205234,Sib
98,Xi_Sib_Proton_2.23_77.0_252.9_98,0.1745675267,1,Proton,2.2305889593965906,76.97813439815108,252.86462396922445,Sib
99,Xi_Sib_Iron_0.0385_60.7_324.9_99,0.3989747052,1,Iron,0.0385157640666148,60.68378771842255,324.8721605136037,Sib
100,Xi_Sib_Proton_0.416_85.7_267.9_100,0.8900090458,1,Proton,0.4163038076382173,85.66576784101711,267.9022966882306,Sib
101,Xi_Sib_Iron_0.637_82.9_130.1_101,0.4884078536,1,Iron,0.6373907367920162,82.896302613248,130.073160148055,Sib
102,Xi_Sib_Proton_0.0781_76.5_20.31_102,0.0218376032,1,Proton,0.07807480110562814,76.51306156170689,20.305687856342374,Sib
103,Xi_Sib_Iron_0.0408_82.5_141.5_103,0.4584553278,1,Iron,0.04075636215743612,82.45518506937525,141.54941432433841,Sib
104,Xi_Sib_Proton_0.149_81.3_139.4_104,0.1250765830,1,Proton,0.14922027212693167,81.30687401316516,139.36953077733182,Sib
105,Xi_Sib_Iron_0.0377_78.9_258.1_105,0.0905622494,1,Iron,0.03770883427682584,78.87339298092401,258.12603633012134,Sib
106,Xi_Sib_Proton_0.0322_79.7_202.4_106,0.5160050082,1,Proton,0.03217546808774366,79.74012909441484,202.43181456985607,Sib
